config_name,rouge1_mean,rouge1_median,rouge1_std,rouge1_min,rouge1_max,rouge2_mean,rouge2_median,rouge2_std,rouge2_min,rouge2_max,rougel_mean,rougel_median,rougel_std,rougel_min,rougel_max
base,0.39881190498180646,0.40363964517794304,0.07155223600654571,0.13934426229508196,0.5752066115702479,0.1171491274244419,0.11390479599141017,0.04601206165940422,0.0,0.2790091264667536,0.182512084776746,0.17946639150943397,0.037887310271036576,0.06557377049180328,0.3433029908972692
no_nli,0.38345704241284656,0.3862837321418073,0.07807587698488626,0.16607773851590102,0.6681222707423582,0.11909192402896049,0.11066970244170525,0.05099340203099928,0.0,0.46929824561403505,0.17791039633723066,0.17170485683650372,0.04498923683615775,0.08146639511201631,0.5633187772925764
no_entity,0.39638594822239576,0.4015820609494448,0.07118744636735067,0.12605042016806722,0.5779334500875657,0.11334058809333081,0.1086919479732672,0.04472152487881974,0.0,0.2812089356110381,0.18127449389730116,0.17743280983642234,0.037203742357539614,0.0588235294117647,0.346002621231979
full,0.38392602740208803,0.3898199527928803,0.07816257719823816,0.16597510373443983,0.5871559633027523,0.11920373182672242,0.10968302826664161,0.050443845084602985,0.0,0.3223684210526316,0.17750634630358533,0.17156929570780127,0.04160262590753538,0.07659574468085106,0.3557312252964427
