id,bertscore_precision,bertscore_recall,bertscore_f1,method
0,0.6238843202590942,0.6602071523666382,0.6415320038795471,BERTScore-deberta-xlarge-mnli
1,0.6138383150100708,0.6502364873886108,0.6315133571624756,BERTScore-deberta-xlarge-mnli
2,0.555289089679718,0.6304035782814026,0.5904670357704163,BERTScore-deberta-xlarge-mnli
3,0.5601097345352173,0.6160469055175781,0.5867481827735901,BERTScore-deberta-xlarge-mnli
4,0.6265873908996582,0.6759128570556641,0.6503161787986755,BERTScore-deberta-xlarge-mnli
5,0.5858681201934814,0.6961944103240967,0.6362842321395874,BERTScore-deberta-xlarge-mnli
6,0.5567105412483215,0.5874329805374146,0.5716592073440552,BERTScore-deberta-xlarge-mnli
7,0.6157432794570923,0.6667006611824036,0.6402095556259155,BERTScore-deberta-xlarge-mnli
8,0.5948252081871033,0.6623287200927734,0.6267645955085754,BERTScore-deberta-xlarge-mnli
9,0.5998461842536926,0.6408675312995911,0.6196787357330322,BERTScore-deberta-xlarge-mnli
10,0.5808441638946533,0.6569771766662598,0.6165693998336792,BERTScore-deberta-xlarge-mnli
11,0.5823014378547668,0.592054009437561,0.5871371626853943,BERTScore-deberta-xlarge-mnli
12,0.571905255317688,0.6298863291740417,0.5994971394538879,BERTScore-deberta-xlarge-mnli
13,0.5262604355812073,0.5761622190475464,0.5500819087028503,BERTScore-deberta-xlarge-mnli
14,0.5750819444656372,0.6288049221038818,0.6007447242736816,BERTScore-deberta-xlarge-mnli
15,0.6672728061676025,0.672161340713501,0.6697081923484802,BERTScore-deberta-xlarge-mnli
16,0.625106692314148,0.6326464414596558,0.628853976726532,BERTScore-deberta-xlarge-mnli
17,0.5997014045715332,0.647909939289093,0.6228742599487305,BERTScore-deberta-xlarge-mnli
18,0.5704332590103149,0.6306273341178894,0.5990219712257385,BERTScore-deberta-xlarge-mnli
19,0.5360272526741028,0.6137292385101318,0.572252631187439,BERTScore-deberta-xlarge-mnli
20,0.5752805471420288,0.5919858813285828,0.5835136771202087,BERTScore-deberta-xlarge-mnli
21,0.48739194869995117,0.461362361907959,0.4740200936794281,BERTScore-deberta-xlarge-mnli
22,0.5668654441833496,0.6132404804229736,0.5891417264938354,BERTScore-deberta-xlarge-mnli
23,0.5897453427314758,0.6486812829971313,0.6178109049797058,BERTScore-deberta-xlarge-mnli
24,0.5511112213134766,0.5949634313583374,0.5721983909606934,BERTScore-deberta-xlarge-mnli
25,0.5776084661483765,0.5750083923339844,0.5763055086135864,BERTScore-deberta-xlarge-mnli
26,0.6042278409004211,0.6223546266555786,0.6131572723388672,BERTScore-deberta-xlarge-mnli
27,0.5827335715293884,0.6611776351928711,0.619482159614563,BERTScore-deberta-xlarge-mnli
28,0.5738136768341064,0.608304500579834,0.5905559062957764,BERTScore-deberta-xlarge-mnli
29,0.48895612359046936,0.5292941331863403,0.5083261728286743,BERTScore-deberta-xlarge-mnli
30,0.6120326519012451,0.7167788147926331,0.6602773666381836,BERTScore-deberta-xlarge-mnli
31,0.5410280823707581,0.5759493708610535,0.5579428672790527,BERTScore-deberta-xlarge-mnli
32,0.4777872562408447,0.5502264499664307,0.5114545822143555,BERTScore-deberta-xlarge-mnli
33,0.6034001708030701,0.6971246004104614,0.6468852162361145,BERTScore-deberta-xlarge-mnli
34,0.47664088010787964,0.5481838583946228,0.5099151134490967,BERTScore-deberta-xlarge-mnli
35,0.6186038255691528,0.7088191509246826,0.6606458425521851,BERTScore-deberta-xlarge-mnli
36,0.6956355571746826,0.6759832501411438,0.6856686472892761,BERTScore-deberta-xlarge-mnli
37,0.4786585867404938,0.5643913745880127,0.5180016160011292,BERTScore-deberta-xlarge-mnli
38,0.6090956926345825,0.6575115919113159,0.6323782801628113,BERTScore-deberta-xlarge-mnli
39,0.5869185924530029,0.6384501457214355,0.6116008162498474,BERTScore-deberta-xlarge-mnli
40,0.6095789670944214,0.611380934715271,0.6104786396026611,BERTScore-deberta-xlarge-mnli
41,0.5297795534133911,0.5933728218078613,0.5597758293151855,BERTScore-deberta-xlarge-mnli
42,0.595135509967804,0.6244307160377502,0.609431266784668,BERTScore-deberta-xlarge-mnli
43,0.5531204342842102,0.5964001417160034,0.5739455223083496,BERTScore-deberta-xlarge-mnli
44,0.6430124640464783,0.6413112282752991,0.6421607136726379,BERTScore-deberta-xlarge-mnli
45,0.5836150050163269,0.7059570550918579,0.6389827132225037,BERTScore-deberta-xlarge-mnli
46,0.5874497294425964,0.6429845094680786,0.6139639019966125,BERTScore-deberta-xlarge-mnli
48,0.6135108470916748,0.6460171937942505,0.6293445229530334,BERTScore-deberta-xlarge-mnli
49,0.6025276184082031,0.6665937900543213,0.6329436302185059,BERTScore-deberta-xlarge-mnli
50,0.5861905217170715,0.6589890122413635,0.6204617023468018,BERTScore-deberta-xlarge-mnli
51,0.623374879360199,0.6783515214920044,0.6497023105621338,BERTScore-deberta-xlarge-mnli
52,0.601315975189209,0.658369243144989,0.6285505294799805,BERTScore-deberta-xlarge-mnli
53,0.5624470710754395,0.6546636819839478,0.6050618886947632,BERTScore-deberta-xlarge-mnli
54,0.6235309839248657,0.6553740501403809,0.6390560865402222,BERTScore-deberta-xlarge-mnli
55,0.5746856927871704,0.6513657569885254,0.6106278300285339,BERTScore-deberta-xlarge-mnli
56,0.5492699146270752,0.6342841386795044,0.5887237787246704,BERTScore-deberta-xlarge-mnli
57,0.5210652351379395,0.5788435935974121,0.5484368801116943,BERTScore-deberta-xlarge-mnli
58,0.5535943508148193,0.6279921531677246,0.5884510278701782,BERTScore-deberta-xlarge-mnli
59,0.5705268979072571,0.6520624160766602,0.6085758209228516,BERTScore-deberta-xlarge-mnli
60,0.5408635139465332,0.6325779557228088,0.5831366777420044,BERTScore-deberta-xlarge-mnli
61,0.6054583787918091,0.7204396724700928,0.6579634547233582,BERTScore-deberta-xlarge-mnli
62,0.5658077597618103,0.6306493282318115,0.5964714884757996,BERTScore-deberta-xlarge-mnli
63,0.6431646347045898,0.632351815700531,0.6377123594284058,BERTScore-deberta-xlarge-mnli
64,0.6605691313743591,0.7515404224395752,0.703124463558197,BERTScore-deberta-xlarge-mnli
65,0.6044923663139343,0.6098686456680298,0.6071686148643494,BERTScore-deberta-xlarge-mnli
66,0.6565484404563904,0.6999119520187378,0.6775370836257935,BERTScore-deberta-xlarge-mnli
67,0.5511668920516968,0.6240336298942566,0.5853412747383118,BERTScore-deberta-xlarge-mnli
68,0.4850960671901703,0.5764594078063965,0.5268461108207703,BERTScore-deberta-xlarge-mnli
69,0.4343571662902832,0.5631856918334961,0.4904525876045227,BERTScore-deberta-xlarge-mnli
70,0.5961906909942627,0.6754621863365173,0.6333556175231934,BERTScore-deberta-xlarge-mnli
71,0.5613933801651001,0.6126495599746704,0.5859025716781616,BERTScore-deberta-xlarge-mnli
72,0.641411304473877,0.6808937788009644,0.6605631113052368,BERTScore-deberta-xlarge-mnli
73,0.6265316605567932,0.6478034257888794,0.6369900107383728,BERTScore-deberta-xlarge-mnli
74,0.5840638875961304,0.6428560018539429,0.6120513081550598,BERTScore-deberta-xlarge-mnli
75,0.6021323204040527,0.6455937623977661,0.6231061220169067,BERTScore-deberta-xlarge-mnli
76,0.6229286193847656,0.6540130972862244,0.6380924582481384,BERTScore-deberta-xlarge-mnli
77,0.5506170988082886,0.6244457364082336,0.5852120518684387,BERTScore-deberta-xlarge-mnli
78,0.6518853902816772,0.6502697467803955,0.6510765552520752,BERTScore-deberta-xlarge-mnli
79,0.5974927544593811,0.670317530632019,0.6318135261535645,BERTScore-deberta-xlarge-mnli
80,0.5513376593589783,0.6108963489532471,0.579590916633606,BERTScore-deberta-xlarge-mnli
81,0.6263927221298218,0.6403106451034546,0.6332752108573914,BERTScore-deberta-xlarge-mnli
82,0.6462246179580688,0.658539891242981,0.6523241400718689,BERTScore-deberta-xlarge-mnli
83,0.5284789800643921,0.6028810739517212,0.5632335543632507,BERTScore-deberta-xlarge-mnli
84,0.6296951770782471,0.6686535477638245,0.6485899090766907,BERTScore-deberta-xlarge-mnli
85,0.6105809211730957,0.6926116943359375,0.6490145325660706,BERTScore-deberta-xlarge-mnli
86,0.5597316026687622,0.6405137777328491,0.5974041819572449,BERTScore-deberta-xlarge-mnli
87,0.5732240080833435,0.601902961730957,0.5872135162353516,BERTScore-deberta-xlarge-mnli
88,0.6393040418624878,0.637643039226532,0.6384724974632263,BERTScore-deberta-xlarge-mnli
89,0.6089117527008057,0.6822739839553833,0.6435087323188782,BERTScore-deberta-xlarge-mnli
90,0.6076782941818237,0.645060658454895,0.6258116960525513,BERTScore-deberta-xlarge-mnli
91,0.5699920654296875,0.6643082499504089,0.6135466694831848,BERTScore-deberta-xlarge-mnli
92,0.5714688301086426,0.6527819633483887,0.6094250679016113,BERTScore-deberta-xlarge-mnli
93,0.54380202293396,0.5864685773849487,0.564329981803894,BERTScore-deberta-xlarge-mnli
94,0.5211210250854492,0.5577709078788757,0.5388234257698059,BERTScore-deberta-xlarge-mnli
95,0.6638616323471069,0.6482630968093872,0.6559696793556213,BERTScore-deberta-xlarge-mnli
96,0.6191089749336243,0.6820461750030518,0.6490554809570312,BERTScore-deberta-xlarge-mnli
97,0.6290136575698853,0.6441304683685303,0.636482298374176,BERTScore-deberta-xlarge-mnli
98,0.5889646410942078,0.6583907008171082,0.6217455863952637,BERTScore-deberta-xlarge-mnli
99,0.6126232147216797,0.6463165283203125,0.6290189623832703,BERTScore-deberta-xlarge-mnli
100,0.58380126953125,0.6723951101303101,0.6249741315841675,BERTScore-deberta-xlarge-mnli
101,0.5686208605766296,0.6093375086784363,0.5882754921913147,BERTScore-deberta-xlarge-mnli
102,0.6053520441055298,0.6531233787536621,0.6283310055732727,BERTScore-deberta-xlarge-mnli
103,0.562352180480957,0.5961182117462158,0.5787431001663208,BERTScore-deberta-xlarge-mnli
104,0.582220196723938,0.671968936920166,0.6238834261894226,BERTScore-deberta-xlarge-mnli
105,0.6463115215301514,0.7380421161651611,0.6891376972198486,BERTScore-deberta-xlarge-mnli
106,0.6715758442878723,0.6286172270774841,0.6493868231773376,BERTScore-deberta-xlarge-mnli
107,0.5121699571609497,0.6007232666015625,0.5529235005378723,BERTScore-deberta-xlarge-mnli
108,0.5633291006088257,0.6324544548988342,0.5958937406539917,BERTScore-deberta-xlarge-mnli
109,0.6068851947784424,0.6359544992446899,0.6210798621177673,BERTScore-deberta-xlarge-mnli
110,0.5514436960220337,0.6025532484054565,0.57586669921875,BERTScore-deberta-xlarge-mnli
111,0.5800814628601074,0.5904874205589294,0.5852381587028503,BERTScore-deberta-xlarge-mnli
112,0.5782296061515808,0.6465169787406921,0.6104695796966553,BERTScore-deberta-xlarge-mnli
113,0.4688236117362976,0.5556719303131104,0.5085665583610535,BERTScore-deberta-xlarge-mnli
114,0.6370432376861572,0.6774388551712036,0.6566203236579895,BERTScore-deberta-xlarge-mnli
115,0.6143176555633545,0.6766987442970276,0.6440011262893677,BERTScore-deberta-xlarge-mnli
116,0.5656243562698364,0.5963728427886963,0.5805917978286743,BERTScore-deberta-xlarge-mnli
117,0.6381556987762451,0.6734136939048767,0.6553107500076294,BERTScore-deberta-xlarge-mnli
118,0.5898944139480591,0.668099045753479,0.6265659332275391,BERTScore-deberta-xlarge-mnli
119,0.5496507883071899,0.5907208323478699,0.5694462656974792,BERTScore-deberta-xlarge-mnli
120,0.6028707027435303,0.6088094115257263,0.6058254837989807,BERTScore-deberta-xlarge-mnli
121,0.5834176540374756,0.6740502119064331,0.6254677176475525,BERTScore-deberta-xlarge-mnli
122,0.5506430864334106,0.5886324644088745,0.5690043568611145,BERTScore-deberta-xlarge-mnli
123,0.5105146765708923,0.5951686501502991,0.5496010184288025,BERTScore-deberta-xlarge-mnli
124,0.5492593050003052,0.545612096786499,0.547429621219635,BERTScore-deberta-xlarge-mnli
125,0.6388437747955322,0.6675350666046143,0.6528743505477905,BERTScore-deberta-xlarge-mnli
126,0.5315089225769043,0.6058318614959717,0.566241979598999,BERTScore-deberta-xlarge-mnli
127,0.5574565529823303,0.6607556343078613,0.6047264337539673,BERTScore-deberta-xlarge-mnli
128,0.5682320594787598,0.6472532749176025,0.6051740050315857,BERTScore-deberta-xlarge-mnli
129,0.6142878532409668,0.6868885159492493,0.6485627889633179,BERTScore-deberta-xlarge-mnli
130,0.6099807024002075,0.6620563268661499,0.6349525451660156,BERTScore-deberta-xlarge-mnli
131,0.5961733460426331,0.6964026689529419,0.6424019932746887,BERTScore-deberta-xlarge-mnli
132,0.6065266132354736,0.6575745344161987,0.6310198307037354,BERTScore-deberta-xlarge-mnli
133,0.5940990447998047,0.6261720061302185,0.6097140312194824,BERTScore-deberta-xlarge-mnli
134,0.5444921851158142,0.6099725961685181,0.5753754377365112,BERTScore-deberta-xlarge-mnli
135,0.5618324875831604,0.6176535487174988,0.5884221196174622,BERTScore-deberta-xlarge-mnli
136,0.5800251960754395,0.6500123143196106,0.6130276918411255,BERTScore-deberta-xlarge-mnli
137,0.6467056274414062,0.6998075246810913,0.6722095012664795,BERTScore-deberta-xlarge-mnli
138,0.6608368158340454,0.664704442024231,0.6627649664878845,BERTScore-deberta-xlarge-mnli
139,0.5547298192977905,0.5623160600662231,0.5584971904754639,BERTScore-deberta-xlarge-mnli
140,0.48236361145973206,0.6164853572845459,0.5412392616271973,BERTScore-deberta-xlarge-mnli
141,0.591020941734314,0.6180831789970398,0.6042492389678955,BERTScore-deberta-xlarge-mnli
142,0.587476372718811,0.6990156173706055,0.638410747051239,BERTScore-deberta-xlarge-mnli
143,0.5383675694465637,0.5836165547370911,0.5600796341896057,BERTScore-deberta-xlarge-mnli
144,0.608942985534668,0.6561875343322754,0.6316831111907959,BERTScore-deberta-xlarge-mnli
145,0.6033968925476074,0.6397507190704346,0.6210422515869141,BERTScore-deberta-xlarge-mnli
146,0.6393324732780457,0.6552684307098389,0.6472023129463196,BERTScore-deberta-xlarge-mnli
147,0.6221373081207275,0.6166810989379883,0.6193971633911133,BERTScore-deberta-xlarge-mnli
148,0.5101927518844604,0.5875260829925537,0.5461353659629822,BERTScore-deberta-xlarge-mnli
149,0.6842392086982727,0.743584394454956,0.7126785516738892,BERTScore-deberta-xlarge-mnli
150,0.6552990674972534,0.743503212928772,0.6966201663017273,BERTScore-deberta-xlarge-mnli
151,0.61091148853302,0.6069888472557068,0.6089438796043396,BERTScore-deberta-xlarge-mnli
152,0.5836016535758972,0.6757619976997375,0.6263096928596497,BERTScore-deberta-xlarge-mnli
153,0.5537161827087402,0.6521687507629395,0.5989234447479248,BERTScore-deberta-xlarge-mnli
154,0.6179662346839905,0.7092990875244141,0.6604902148246765,BERTScore-deberta-xlarge-mnli
155,0.6262792944908142,0.672928512096405,0.6487663984298706,BERTScore-deberta-xlarge-mnli
156,0.6348470449447632,0.6663570404052734,0.650220513343811,BERTScore-deberta-xlarge-mnli
157,0.6056333780288696,0.6386749744415283,0.6217154860496521,BERTScore-deberta-xlarge-mnli
158,0.6528945565223694,0.6722314357757568,0.6624219417572021,BERTScore-deberta-xlarge-mnli
159,0.5915277600288391,0.7124900817871094,0.6463986039161682,BERTScore-deberta-xlarge-mnli
160,0.5941537022590637,0.6245023012161255,0.6089500784873962,BERTScore-deberta-xlarge-mnli
161,0.5039125680923462,0.5526926517486572,0.5271766185760498,BERTScore-deberta-xlarge-mnli
162,0.600211501121521,0.6804933547973633,0.6378361582756042,BERTScore-deberta-xlarge-mnli
163,0.6397750377655029,0.6532989740371704,0.6464662551879883,BERTScore-deberta-xlarge-mnli
164,0.5375005602836609,0.5677144527435303,0.5521944761276245,BERTScore-deberta-xlarge-mnli
165,0.5842882394790649,0.6431821584701538,0.6123223304748535,BERTScore-deberta-xlarge-mnli
166,0.607336163520813,0.6526322364807129,0.6291700005531311,BERTScore-deberta-xlarge-mnli
167,0.581979513168335,0.5907278060913086,0.5863210558891296,BERTScore-deberta-xlarge-mnli
168,0.6423184275627136,0.6718464493751526,0.6567506790161133,BERTScore-deberta-xlarge-mnli
169,0.607373833656311,0.6950541734695435,0.648262619972229,BERTScore-deberta-xlarge-mnli
170,0.5522781610488892,0.610126256942749,0.5797628164291382,BERTScore-deberta-xlarge-mnli
171,0.5851150751113892,0.6552944779396057,0.6182194352149963,BERTScore-deberta-xlarge-mnli
172,0.5626721382141113,0.6838746070861816,0.6173810958862305,BERTScore-deberta-xlarge-mnli
173,0.5634688138961792,0.5971968173980713,0.579842746257782,BERTScore-deberta-xlarge-mnli
174,0.6020331382751465,0.6623546481132507,0.6307549476623535,BERTScore-deberta-xlarge-mnli
175,0.5916812419891357,0.5951703786849976,0.593420684337616,BERTScore-deberta-xlarge-mnli
176,0.5947974324226379,0.6642621755599976,0.6276134848594666,BERTScore-deberta-xlarge-mnli
