config_name,alignscore_mean,alignscore_median,alignscore_std,alignscore_min,alignscore_max,method
base,0.8275689595754947,0.8387264013290405,0.09441434710298867,0.0004343668988440186,0.9963818192481995,AlignScore-large
no_nli,0.8237188964797909,0.8316720724105835,0.09487265672225856,0.044127676635980606,0.9860774874687195,AlignScore-large
no_entity,0.8287432990736449,0.8384476602077484,0.09369200480662827,0.00042959340498782694,0.9916808009147644,AlignScore-large
full,0.8222138365902695,0.8329625129699707,0.09265208194101995,0.05383763089776039,0.9939594268798828,AlignScore-large
