id,rouge1,rouge2,rougel,bertscore
0,0.452054794520548,0.1923076923076923,0.2191780821917808,0.2608613669872284
1,0.47703703703703704,0.16939078751857356,0.1777777777777778,0.24020355939865112
2,0.389776357827476,0.13233724653148346,0.15122470713525027,0.15556874871253967
3,0.407158836689038,0.08744394618834081,0.15436241610738255,0.14790070056915283
4,0.4080459770114943,0.13256484149855907,0.19827586206896552,0.27897390723228455
5,0.32019704433497537,0.12376237623762376,0.19704433497536947,0.2500409185886383
6,0.32565789473684215,0.0627062706270627,0.13486842105263158,0.11678855121135712
7,0.38872403560830865,0.10119047619047619,0.18397626112759646,0.2581346929073334
8,0.3910614525139665,0.15406162464985995,0.19832402234636873,0.23041227459907532
9,0.41749502982107356,0.13972055888223556,0.18687872763419486,0.2158014327287674
10,0.31384615384615383,0.11419753086419752,0.1692307692307692,0.2093900591135025
11,0.39067055393586003,0.08771929824561403,0.1457725947521866,0.14870312809944153
12,0.4127423822714681,0.13055555555555554,0.1634349030470914,0.1741882562637329
13,0.3099099099099099,0.06148282097649187,0.1297297297297297,0.07229726761579514
14,0.3248407643312102,0.07987220447284343,0.1751592356687898,0.1767606884241104
15,0.475873544093178,0.11686143572621034,0.1896838602329451,0.3189587891101837
16,0.5026178010471204,0.19964973730297722,0.21640488656195464,0.23472033441066742
17,0.41904761904761906,0.1337579617834395,0.20317460317460317,0.22239039838314056
18,0.3692762186115214,0.09185185185185185,0.18020679468242246,0.17320849001407623
19,0.33069082672706684,0.12939841089670828,0.15175537938844846,0.11801178753376007
20,0.3682539682539682,0.06369426751592357,0.13968253968253969,0.1412312388420105
21,0.2570422535211268,0.02120141342756184,0.10915492957746478,-0.08453760296106339
22,0.4159779614325068,0.11878453038674033,0.17079889807162535,0.15283603966236115
23,0.40915208613728127,0.1349527665317139,0.17765814266487215,0.21194995939731598
24,0.3180291153415453,0.07631874298540965,0.15005599104143338,0.1178998202085495
25,0.4271604938271605,0.12376237623762376,0.19753086419753088,0.12636856734752655
26,0.393681652490887,0.0925700365408039,0.14823815309842042,0.20235483348369598
27,0.4107142857142857,0.14798206278026907,0.1964285714285714,0.215395987033844
28,0.3872752420470263,0.13869625520110956,0.16874135546334715,0.15575186908245087
29,0.16974169741697417,0.007407407407407408,0.0996309963099631,-0.013800556771457195
30,0.4220532319391635,0.19083969465648856,0.24334600760456274,0.2995130121707916
31,0.34604904632152583,0.09016393442622951,0.16893732970027245,0.0885060727596283
32,0.26633785450061653,0.09641532756489493,0.1159062885326757,-0.007349850609898567
33,0.40562248995983935,0.1814516129032258,0.23293172690763053,0.27189961075782776
34,0.2061281337047354,0.05865921787709498,0.1309192200557103,-0.010524261742830276
35,0.4226415094339623,0.1628787878787879,0.24528301886792453,0.3002729117870331
36,0.4604966139954853,0.1678004535147392,0.19413092550790068,0.35186848044395447
37,0.2413087934560327,0.0430327868852459,0.11247443762781185,0.006149476394057274
38,0.3914780292942743,0.09879839786381842,0.18908122503328895,0.24198709428310394
39,0.3233333333333333,0.07357859531772576,0.16333333333333333,0.19914552569389343
40,0.4560862865947612,0.10819165378670788,0.16640986132511557,0.19683142006397247
41,0.3564814814814815,0.10672853828306265,0.15972222222222224,0.0922854021191597
42,0.3829113924050633,0.08888888888888888,0.14240506329113922,0.19467179477214813
43,0.43359818388195226,0.11831626848691698,0.18615209988649262,0.12150242179632187
44,0.4593128390596745,0.10526315789473685,0.19529837251356238,0.26215797662734985
45,0.3707865168539326,0.14647887323943662,0.15730337078651685,0.255605012178421
46,0.4084967320261438,0.10491803278688525,0.18300653594771243,0.20401768386363983
48,0.38187702265372164,0.1038961038961039,0.19093851132686082,0.23573167622089386
49,0.3833634719710669,0.09800362976406533,0.18444846292947556,0.24315281212329865
50,0.33458646616541354,0.09811320754716982,0.15037593984962405,0.21741586923599243
51,0.42500000000000004,0.08786610878661087,0.18333333333333332,0.27770817279815674
52,0.3907103825136612,0.12328767123287672,0.18579234972677594,0.23409439623355865
53,0.30769230769230765,0.0933572710951526,0.16100178890876565,0.1856624186038971
54,0.41758241758241754,0.1493268053855569,0.17826617826617827,0.2557561993598938
55,0.3859111791730474,0.1044546850998464,0.1562021439509954,0.19713817536830902
56,0.3275862068965517,0.06916426512968299,0.13793103448275862,0.1519741415977478
57,0.23762376237623764,0.039702233250620354,0.12623762376237624,0.06890520453453064
58,0.31685393258426964,0.06306306306306307,0.13258426966292136,0.15141186118125916
