id,rouge1,rouge2,rougel,bertscore
0,0.43889618922470436,0.18708827404479578,0.21813403416557162,0.24897292256355286
1,0.44173441734417346,0.14945652173913043,0.17073170731707318,0.2252960354089737
2,0.41594022415940224,0.11735330836454431,0.14445828144458284,0.15424276888370514
3,0.3982494529540481,0.08333333333333333,0.1575492341356674,0.1251855194568634
4,0.4184615384615385,0.12654320987654322,0.19999999999999998,0.273420512676239
5,0.3062200956937799,0.12019230769230768,0.18660287081339713,0.23409304022789001
6,0.3091787439613527,0.05815831987075929,0.14814814814814814,0.1176757737994194
7,0.38189533239038187,0.11063829787234042,0.18670438472418668,0.2342619150876999
8,0.39714285714285713,0.1489971346704871,0.20285714285714285,0.23180155456066132
9,0.4118811881188119,0.1272365805168986,0.1900990099009901,0.2092597782611847
10,0.3122102009273571,0.10852713178294573,0.1669242658423493,0.20272709429264069
11,0.40828402366863903,0.08902077151335311,0.15088757396449703,0.1605510264635086
12,0.41833810888252154,0.12643678160919541,0.16905444126074495,0.17122916877269745
13,0.3241252302025783,0.06284658040665433,0.1289134438305709,0.07987289130687714
14,0.3702479338842975,0.11276948590381426,0.19834710743801653,0.22065946459770203
15,0.4837662337662338,0.10423452768729641,0.1753246753246753,0.3201077878475189
16,0.48561151079136694,0.14801444043321302,0.19784172661870505,0.19998665153980255
17,0.4106583072100313,0.13522012578616352,0.2006269592476489,0.21533994376659393
18,0.3654970760233918,0.0909090909090909,0.18128654970760233,0.16822361946105957
19,0.3212321232123212,0.1278941565600882,0.1474147414741474,0.10077466815710068
20,0.39001560062402496,0.081377151799687,0.1435257410296412,0.17432159185409546
21,0.24305555555555552,0.01742160278745644,0.1076388888888889,-0.06867119669914246
22,0.40555555555555556,0.11420612813370475,0.16944444444444445,0.14024335145950317
23,0.38481675392670156,0.11811023622047245,0.19109947643979056,0.1931392252445221
24,0.3453416149068323,0.0846824408468244,0.16645962732919253,0.13006678223609924
25,0.4410011918951133,0.11947431302270012,0.1907032181168057,0.15545886754989624
26,0.39565741857659836,0.09431680773881498,0.14957780458383596,0.19355352222919464
27,0.46766169154228854,0.2,0.21393034825870644,0.27555567026138306
28,0.38896551724137934,0.13831258644536654,0.1682758620689655,0.13967911899089813
29,0.20285261489698891,0.006359300476947536,0.09508716323296355,-0.03159379959106445
30,0.41240875912408764,0.18315018315018317,0.22262773722627735,0.29717543721199036
31,0.3492496589358799,0.09028727770177838,0.1664392905866303,0.08053828030824661
32,0.29740791268758526,0.10396716826265388,0.12278308321964529,0.03565911948680878
33,0.39416058394160586,0.1794871794871795,0.21167883211678834,0.2907392382621765
34,0.1851851851851852,0.054455445544554455,0.11851851851851851,-0.04551897943019867
35,0.3895253682487725,0.15435139573070608,0.2193126022913257,0.2748751640319824
36,0.46320346320346323,0.1391304347826087,0.17316017316017315,0.34185487031936646
37,0.24646464646464647,0.04251012145748988,0.11717171717171718,-0.024015968665480614
38,0.39231824417009603,0.10178817056396147,0.19478737997256518,0.24981343746185303
39,0.3222591362126246,0.07666666666666666,0.15614617940199335,0.18554368615150452
