id,rouge1,rouge2,rougel,bertscore
0,0.425,0.15789473684210525,0.2175,0.2445971518754959
1,0.46986089644513135,0.13643410852713178,0.17619783616692428,0.23839826881885529
2,0.41770401106500693,0.12482662968099863,0.15767634854771784,0.15978559851646423
3,0.4524103831891224,0.12143742255266417,0.14833127317676142,0.2242693156003952
4,0.46869983948635635,0.17069243156199682,0.22792937399678975,0.31155019998550415
5,0.35264483627204024,0.11139240506329115,0.21158690176322414,0.2526143491268158
6,0.29695885509839,0.05026929982046679,0.12164579606440072,0.11026545614004135
7,0.39221140472879,0.12831241283124128,0.16133518776077885,0.24236391484737396
8,0.32748538011695905,0.06744868035190617,0.14912280701754385,0.1849917471408844
9,0.43171806167400884,0.11061946902654868,0.16740088105726872,0.22583113610744476
10,0.31217838765008576,0.10327022375215146,0.17495711835334476,0.18952679634094238
11,0.41438356164383566,0.08934707903780068,0.17123287671232876,0.15684089064598083
12,0.3923076923076923,0.14138817480719792,0.158974358974359,0.16282407939434052
13,0.38121546961325975,0.07222222222222223,0.13812154696132595,0.13359244167804718
14,0.3714759535655058,0.11980033277870215,0.16915422885572143,0.21422547101974487
15,0.48417721518987333,0.13015873015873014,0.18670886075949367,0.31492236256599426
16,0.47744360902255645,0.12075471698113208,0.19924812030075187,0.21456725895404816
17,0.3992467043314501,0.09073724007561437,0.1770244821092279,0.21788693964481354
18,0.3762962962962963,0.10698365527488855,0.20148148148148148,0.22305628657341003
19,0.3551912568306011,0.09863013698630137,0.14207650273224043,0.1815263032913208
20,0.35478260869565215,0.08027923211169286,0.14260869565217393,0.16184616088867188
21,0.28014184397163117,0.028469750889679714,0.11702127659574468,-0.09142343699932098
22,0.389920424403183,0.10372340425531915,0.14323607427055704,0.13622252643108368
23,0.4829545454545454,0.13105413105413105,0.1903409090909091,0.25601673126220703
24,0.35989717223650386,0.08247422680412371,0.14395886889460155,0.1487390100955963
25,0.4615384615384615,0.11691542288557213,0.17121588089330023,0.12997975945472717
26,0.42585551330798477,0.09148665819567979,0.15462610899873258,0.20160514116287231
27,0.39560439560439564,0.12803532008830024,0.19340659340659339,0.210375115275383
28,0.41898527004909986,0.13464696223316913,0.1571194762684124,0.17117460072040558
29,0.1739130434782609,0.005813953488372093,0.09855072463768116,-0.04797810688614845
30,0.4371134020618557,0.15734989648033126,0.21443298969072166,0.26882535219192505
31,0.3808180535966149,0.11032531824611032,0.19464033850493653,0.13902036845684052
32,0.27647058823529413,0.0855457227138643,0.12352941176470589,0.06312369555234909
33,0.40657084188911713,0.16494845360824742,0.22176591375770022,0.3178786039352417
34,0.19601328903654483,0.030000000000000002,0.10299003322259137,-0.03690847009420395
35,0.40601503759398494,0.17735849056603775,0.2180451127819549,0.31235864758491516
36,0.4849699398797595,0.18511066398390344,0.2525050100200401,0.322339802980423
37,0.35519999999999996,0.06099518459069021,0.1632,0.21033553779125214
