id,bartscore_sum2doc,bartscore_doc2sum,truncated
0,-3.225461483001709,-2.420283317565918,False
1,-3.3020405769348145,-2.3392062187194824,False
2,-3.5428543090820312,-2.9002277851104736,False
3,-3.1609911918640137,-2.7467689514160156,False
4,-2.727069616317749,-1.734571933746338,False
5,-1.7889795303344727,-2.2414796352386475,False
6,-3.9256184101104736,-2.437152624130249,False
7,-3.4498751163482666,-2.5225634574890137,False
8,-3.181183099746704,-2.522409677505493,False
9,-3.222512722015381,-2.186887502670288,False
10,-3.1427974700927734,-2.2239315509796143,False
11,-3.056605815887451,-2.4834578037261963,False
12,-3.3716273307800293,-2.4469099044799805,False
13,-3.494757652282715,-2.614424467086792,False
14,-3.7159152030944824,-3.1947858333587646,False
15,-2.8877668380737305,-2.3111460208892822,False
16,-3.609433650970459,-2.529865264892578,False
17,-2.9758944511413574,-2.231173038482666,False
18,-3.8358330726623535,-3.158216714859009,False
19,-4.126164436340332,-2.5041494369506836,False
20,-2.9434051513671875,-1.976904034614563,False
21,-2.4978411197662354,-1.7811768054962158,False
22,-2.9388651847839355,-2.3490662574768066,False
23,-3.365811824798584,-2.2432656288146973,False
24,-3.6209888458251953,-2.631402015686035,False
25,-3.5889220237731934,-2.4428653717041016,False
26,-3.2535877227783203,-2.423009157180786,False
27,-3.7644453048706055,-2.3583288192749023,False
28,-2.959157705307007,-2.0391039848327637,False
29,-3.141347646713257,-2.55936336517334,False
30,-3.3737564086914062,-2.2265641689300537,False
31,-3.630064010620117,-2.429323196411133,False
32,-3.125735282897949,-2.407801389694214,False
33,-2.835918664932251,-2.0144917964935303,False
34,-3.784583568572998,-2.7770602703094482,False
35,-3.9896483421325684,-2.0249176025390625,False
36,-3.939669132232666,-2.1004722118377686,False
37,-4.613703727722168,-3.2309322357177734,True
38,-3.142648696899414,-2.531081199645996,False
39,-3.373059034347534,-2.6619765758514404,False
40,-3.648477077484131,-2.341856002807617,False
41,-3.1568727493286133,-2.311058282852173,False
42,-3.223548650741577,-1.766545057296753,False
43,-3.580078601837158,-2.536231756210327,False
44,-3.314669132232666,-2.470228433609009,False
45,-2.464470863342285,-1.9592448472976685,False
46,-3.4247066974639893,-2.535099744796753,False
48,-3.809218406677246,-3.7824087142944336,False
49,-4.016833305358887,-3.2853939533233643,False
50,-3.858403205871582,-3.2874157428741455,False
51,-3.974261522293091,-3.881087303161621,False
52,-3.963273763656616,-3.527090311050415,False
53,-4.1518659591674805,-3.8337347507476807,False
54,-4.269977569580078,-3.3388350009918213,False
55,-4.210672378540039,-3.6850028038024902,False
56,-4.199720859527588,-3.4369328022003174,False
57,-4.326145648956299,-3.3678340911865234,False
58,-4.087330341339111,-3.49648118019104,True
