id,bartscore_sum2doc,bartscore_doc2sum,truncated
0,-3.1405348777770996,-2.2674129009246826,False
1,-3.0761709213256836,-2.327336072921753,False
2,-3.4791011810302734,-2.462813138961792,False
3,-3.0283236503601074,-2.3088743686676025,False
4,-2.774705171585083,-1.8633512258529663,False
5,-1.8944480419158936,-2.181474208831787,False
6,-3.7395222187042236,-2.7771685123443604,False
7,-3.2707533836364746,-2.510834217071533,False
8,-3.2978224754333496,-2.6165308952331543,False
9,-3.4029955863952637,-2.0473358631134033,False
10,-3.6296567916870117,-2.663050651550293,False
11,-3.0594608783721924,-2.155874490737915,False
12,-3.2628941535949707,-2.400799036026001,False
13,-3.6195032596588135,-2.880939245223999,False
14,-3.54532527923584,-3.4615328311920166,False
15,-3.0885117053985596,-2.061241388320923,False
16,-3.879450559616089,-2.317816972732544,False
17,-3.290156841278076,-2.4903104305267334,False
18,-3.794107437133789,-2.9715733528137207,False
19,-4.240751266479492,-2.5987884998321533,False
20,-3.3276526927948,-2.588057041168213,False
21,-2.852031707763672,-2.0115468502044678,False
22,-3.2601537704467773,-2.244800090789795,False
23,-3.412257671356201,-2.579169988632202,False
24,-3.827052116394043,-2.9487011432647705,False
25,-3.9155759811401367,-3.311699867248535,False
26,-3.390115737915039,-2.607208013534546,False
27,-3.8066389560699463,-2.282175064086914,False
28,-2.8676018714904785,-1.8529093265533447,False
29,-3.2067832946777344,-2.757658004760742,False
30,-3.4188170433044434,-2.478644371032715,False
31,-3.764599561691284,-2.2551724910736084,False
32,-3.4053032398223877,-2.7249677181243896,False
33,-3.0904366970062256,-2.3845787048339844,False
34,-4.119383811950684,-2.9129104614257812,False
35,-3.3193228244781494,-2.4983103275299072,False
36,-3.7541098594665527,-2.5652456283569336,False
37,-4.669356822967529,-3.264763116836548,False
38,-3.3535349369049072,-2.674663543701172,False
39,-3.4751594066619873,-2.7842085361480713,False
40,-3.5728023052215576,-2.226569414138794,False
41,-3.180060863494873,-2.413158416748047,False
42,-3.3086163997650146,-1.9216583967208862,False
43,-3.6625800132751465,-2.5626988410949707,False
44,-3.126162528991699,-2.4450278282165527,False
45,-2.7087340354919434,-2.2986948490142822,False
46,-3.42307710647583,-2.3291847705841064,False
48,-3.891345977783203,-3.479217290878296,False
49,-3.908597469329834,-3.2973217964172363,False
50,-3.947943925857544,-3.2774910926818848,False
51,-4.028781890869141,-3.906451940536499,False
52,-3.9491207599639893,-3.314016103744507,False
53,-4.1232733726501465,-3.8871877193450928,False
54,-4.279258728027344,-3.52134370803833,False
55,-4.116596221923828,-3.622842788696289,False
56,-4.139184951782227,-3.526712656021118,False
57,-4.312221527099609,-3.063626527786255,True
58,-4.0858259201049805,-3.4378209114074707,False
59,-3.85162091255188,-3.586547613143921,False
60,-4.164641380310059,-3.576740026473999,False
61,-4.157064437866211,-3.8959507942199707,False
62,-3.8928301334381104,-3.571765661239624,False
63,-4.019906997680664,-3.699174165725708,False
64,-3.9230992794036865,-3.843907117843628,False
65,-4.260515213012695,-3.8642351627349854,False
66,-3.9861226081848145,-3.640357494354248,False
67,-3.9294705390930176,-3.4921915531158447,False
68,-3.9145073890686035,-3.94197940826416,False
69,-4.34538459777832,-3.2261180877685547,False
70,-3.8463685512542725,-3.629213571548462,False
71,-3.855933904647827,-3.032029628753662,False
72,-3.9744608402252197,-4.309431552886963,False
73,-3.9184560775756836,-3.5171473026275635,False
74,-3.930607318878174,-3.4357030391693115,False
75,-4.1570634841918945,-3.4396486282348633,False
76,-3.7114388942718506,-3.734891653060913,False
77,-4.439067363739014,-3.9055845737457275,False
78,-4.12645149230957,-3.6097030639648438,False
79,-3.884495973587036,-3.5694775581359863,False
80,-4.324999809265137,-3.597872018814087,False
81,-4.171323776245117,-3.5108580589294434,False
82,-3.770782947540283,-3.9396891593933105,False
83,-4.639092445373535,-4.006846904754639,False
84,-4.185619354248047,-3.6875479221343994,False
85,-3.7433218955993652,-3.426248073577881,False
86,-4.233819484710693,-3.634941816329956,False
87,-3.878528118133545,-3.138425588607788,False
88,-3.6446070671081543,-3.5857994556427,False
89,-4.374547004699707,-3.6459243297576904,False
90,-4.055941104888916,-3.80686616897583,False
91,-3.9953112602233887,-4.1104230880737305,False
92,-3.7686519622802734,-3.5845463275909424,False
93,-4.311852931976318,-3.6882903575897217,False
94,-3.899188995361328,-3.6622190475463867,False
95,-4.284201145172119,-3.41534161567688,False
96,-4.286210060119629,-3.368853807449341,False
97,-4.010624885559082,-3.3175816535949707,False
98,-3.5325849056243896,-3.2848634719848633,False
99,-3.9169092178344727,-3.6383838653564453,False
100,-4.137692928314209,-3.6658551692962646,False
101,-4.348389148712158,-3.8850951194763184,False
102,-4.401381492614746,-3.5619869232177734,False
103,-4.079675674438477,-3.71274471282959,False
104,-4.084090232849121,-3.5967917442321777,False
105,-4.004254341125488,-3.3866474628448486,False
106,-3.750304698944092,-3.823652505874634,False
107,-3.807184934616089,-3.4471139907836914,False
108,-4.158506870269775,-3.8420157432556152,False
109,-4.345573425292969,-3.51838755607605,False
110,-4.140155792236328,-3.4585888385772705,False
111,-4.088321685791016,-3.8219192028045654,False
112,-4.913033962249756,-3.3004467487335205,False
113,-4.128356456756592,-3.774207592010498,False
114,-4.417083263397217,-3.7750022411346436,False
115,-4.602530479431152,-2.887955904006958,False
116,-4.309034824371338,-3.628267526626587,False
117,-4.811430931091309,-3.2523717880249023,False
118,-3.8858940601348877,-3.8598806858062744,False
119,-4.054657936096191,-3.980923652648926,False
120,-3.9928030967712402,-3.7767155170440674,False
121,-4.555037498474121,-4.128987789154053,False
122,-4.346232891082764,-3.5267832279205322,False
123,-3.592050790786743,-3.0661468505859375,False
124,-4.069149017333984,-3.9059526920318604,False
125,-4.526061058044434,-3.313030242919922,False
126,-3.852217197418213,-3.5884556770324707,False
127,-4.08911657333374,-3.8969106674194336,False
128,-4.15846586227417,-3.095365047454834,False
129,-3.968961238861084,-3.6359360218048096,False
130,-4.053224086761475,-3.6225974559783936,False
131,-3.624838352203369,-3.7274763584136963,False
132,-3.846550703048706,-3.8108127117156982,False
133,-4.266846656799316,-3.4569754600524902,False
134,-4.156653881072998,-3.63981556892395,False
135,-4.26262092590332,-3.4552106857299805,False
136,-4.17287540435791,-3.562638282775879,False
137,-3.74782395362854,-3.093134641647339,False
138,-3.7158424854278564,-3.610508441925049,False
139,-4.305480003356934,-3.65525484085083,False
