config_name,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,method
base,0.6005601296463166,0.6026352941989899,0.04104523166621888,0.46344947814941406,0.7118445634841919,0.6397872989077166,0.6405557096004486,0.04412268635779336,0.45802953839302063,0.7574113011360168,0.6190224867987345,0.6209588646888733,0.03853610518600588,0.4706805646419525,0.7195714116096497,BERTScore-deberta-xlarge-mnli
no_nli,0.5851064752862156,0.5874223113059998,0.04870303266568491,0.43163901567459106,0.7724734544754028,0.6420752410309382,0.6443386971950531,0.046535309229047986,0.47086071968078613,0.7859954833984375,0.6116776578277948,0.6157850623130798,0.04417277621991024,0.48171499371528625,0.7655647993087769,BERTScore-deberta-xlarge-mnli
no_entity,0.6004962772729406,0.601884663105011,0.041668660876789464,0.4623661935329437,0.7129711508750916,0.636351738768409,0.636271595954895,0.04339544112179343,0.45694446563720703,0.7574113011360168,0.6173463959291757,0.6190529763698578,0.038304783787234044,0.4717378616333008,0.7201036214828491,BERTScore-deberta-xlarge-mnli
full,0.5848921148413156,0.5874630510807037,0.04810225058360205,0.4343571662902832,0.7157648801803589,0.6401672907263399,0.6441569924354553,0.04740204882566507,0.4611954391002655,0.7864782810211182,0.6107279770824325,0.6130924820899963,0.04441310255388474,0.4740200936794281,0.7413803339004517,BERTScore-deberta-xlarge-mnli
