id,bertscore_precision,bertscore_recall,bertscore_f1,method
0,0.6079427599906921,0.6553198099136353,0.6307429075241089,BERTScore-deberta-xlarge-mnli
1,0.6267967224121094,0.6534757018089294,0.6398581862449646,BERTScore-deberta-xlarge-mnli
2,0.5839282274246216,0.5960291624069214,0.5899166464805603,BERTScore-deberta-xlarge-mnli
3,0.6002892255783081,0.645954966545105,0.6222854256629944,BERTScore-deberta-xlarge-mnli
4,0.6405828595161438,0.694976806640625,0.6666721701622009,BERTScore-deberta-xlarge-mnli
5,0.5945290327072144,0.7121303081512451,0.6480374932289124,BERTScore-deberta-xlarge-mnli
6,0.5577621459960938,0.5760294198989868,0.5667486190795898,BERTScore-deberta-xlarge-mnli
7,0.6035804748535156,0.6373727321624756,0.6200164556503296,BERTScore-deberta-xlarge-mnli
8,0.5894267559051514,0.625421941280365,0.6068910360336304,BERTScore-deberta-xlarge-mnli
9,0.6180182099342346,0.6165758967399597,0.6172962188720703,BERTScore-deberta-xlarge-mnli
10,0.5807164907455444,0.631912350654602,0.6052337288856506,BERTScore-deberta-xlarge-mnli
11,0.6021302342414856,0.5842547416687012,0.5930578112602234,BERTScore-deberta-xlarge-mnli
12,0.5560381412506104,0.6318917870521545,0.5915432572364807,BERTScore-deberta-xlarge-mnli
13,0.5774572491645813,0.5673983097076416,0.5723835825920105,BERTScore-deberta-xlarge-mnli
14,0.5865513682365417,0.6528739929199219,0.6179381608963013,BERTScore-deberta-xlarge-mnli
15,0.6826120018959045,0.6503869891166687,0.6661099791526794,BERTScore-deberta-xlarge-mnli
16,0.6341003179550171,0.6174517869949341,0.6256653070449829,BERTScore-deberta-xlarge-mnli
17,0.6076114177703857,0.6176863312721252,0.612607479095459,BERTScore-deberta-xlarge-mnli
18,0.5890035629272461,0.6554915904998779,0.6204714775085449,BERTScore-deberta-xlarge-mnli
19,0.5746676921844482,0.6357871294021606,0.6036843657493591,BERTScore-deberta-xlarge-mnli
20,0.588018000125885,0.5994530320167542,0.5936804413795471,BERTScore-deberta-xlarge-mnli
21,0.48752111196517944,0.45694446563720703,0.4717378616333008,BERTScore-deberta-xlarge-mnli
22,0.5540725588798523,0.6130034327507019,0.5820501446723938,BERTScore-deberta-xlarge-mnli
23,0.6094896793365479,0.6710008978843689,0.6387678384780884,BERTScore-deberta-xlarge-mnli
24,0.578883171081543,0.5911912322044373,0.5849724411964417,BERTScore-deberta-xlarge-mnli
25,0.5736757516860962,0.5711392164230347,0.572404682636261,BERTScore-deberta-xlarge-mnli
26,0.5921199917793274,0.601740837097168,0.5968916416168213,BERTScore-deberta-xlarge-mnli
27,0.576265811920166,0.641289234161377,0.6070412397384644,BERTScore-deberta-xlarge-mnli
28,0.5962978005409241,0.6082497835159302,0.6022144556045532,BERTScore-deberta-xlarge-mnli
29,0.4623661935329437,0.5150340795516968,0.48728108406066895,BERTScore-deberta-xlarge-mnli
30,0.6034435629844666,0.6941454410552979,0.6456244587898254,BERTScore-deberta-xlarge-mnli
31,0.5614615678787231,0.5722678303718567,0.5668131709098816,BERTScore-deberta-xlarge-mnli
32,0.5186468362808228,0.5926337242126465,0.5531772971153259,BERTScore-deberta-xlarge-mnli
33,0.60787034034729,0.6701357364654541,0.6374862194061279,BERTScore-deberta-xlarge-mnli
34,0.49851173162460327,0.537147045135498,0.5171087384223938,BERTScore-deberta-xlarge-mnli
35,0.602611243724823,0.6971112489700317,0.6464258432388306,BERTScore-deberta-xlarge-mnli
36,0.6783238649368286,0.6631021499633789,0.6706266403198242,BERTScore-deberta-xlarge-mnli
37,0.5798931121826172,0.6279696226119995,0.6029745936393738,BERTScore-deberta-xlarge-mnli
38,0.6264313459396362,0.6451882719993591,0.6356714963912964,BERTScore-deberta-xlarge-mnli
39,0.5799514055252075,0.629712700843811,0.6038085222244263,BERTScore-deberta-xlarge-mnli
40,0.6107083559036255,0.6150614023208618,0.6128771305084229,BERTScore-deberta-xlarge-mnli
41,0.5823739767074585,0.6001712679862976,0.5911387205123901,BERTScore-deberta-xlarge-mnli
42,0.6179026961326599,0.6171817779541016,0.617542028427124,BERTScore-deberta-xlarge-mnli
43,0.5825012922286987,0.6113281846046448,0.5965666770935059,BERTScore-deberta-xlarge-mnli
44,0.626811146736145,0.6350055932998657,0.6308817863464355,BERTScore-deberta-xlarge-mnli
45,0.6183536052703857,0.7249816656112671,0.6674358248710632,BERTScore-deberta-xlarge-mnli
46,0.6030542254447937,0.620568037033081,0.6116857528686523,BERTScore-deberta-xlarge-mnli
48,0.6371155977249146,0.6168742775917053,0.6268315315246582,BERTScore-deberta-xlarge-mnli
49,0.604638934135437,0.6729749441146851,0.6369794011116028,BERTScore-deberta-xlarge-mnli
