config_name,fluency_mean,fluency_median,fluency_std,fluency_min,fluency_max,method
base,0.9454983457517607,0.9571393008105127,0.04249430255739137,0.4886217623602294,0.9660632881609476,UniEval-fluency
no_nli,0.9399428978316807,0.9558287057340278,0.04383663296072862,0.6290196605755315,0.9661139899508201,UniEval-fluency
no_entity,0.9490785197834455,0.957273939974242,0.03470299167281394,0.5657234746596352,0.9668906312449098,UniEval-fluency
full,0.9440237101995033,0.9554737236478419,0.03231568893524166,0.6995815953131622,0.966890662193655,UniEval-fluency
