id,rouge1,rouge2,rougel,bertscore_precision,bertscore_recall,bertscore_f1,method
0,0.4483695652173913,0.1880108991825613,0.2173913043478261,0.6213916540145874,0.6598119139671326,0.6400257349014282,BERTScore-deberta-xlarge-mnli
1,0.4687045123726346,0.16934306569343063,0.17758369723435227,0.6122952699661255,0.6511796712875366,0.6311391592025757,BERTScore-deberta-xlarge-mnli
2,0.3848515864892529,0.12923076923076923,0.15148413510747186,0.5471159815788269,0.6291776895523071,0.585284411907196,BERTScore-deberta-xlarge-mnli
3,0.40825688073394495,0.08275862068965517,0.1536697247706422,0.5608073472976685,0.6178669929504395,0.5879560708999634,BERTScore-deberta-xlarge-mnli
4,0.41167883211678835,0.13177159590043924,0.19854014598540146,0.6254125833511353,0.6775890588760376,0.6504561305046082,BERTScore-deberta-xlarge-mnli
5,0.3125,0.12560386473429952,0.1971153846153846,0.5853674411773682,0.6967127323150635,0.6362050771713257,BERTScore-deberta-xlarge-mnli
6,0.32605042016806723,0.06408094435075887,0.13109243697478992,0.5556323528289795,0.584017276763916,0.5694712996482849,BERTScore-deberta-xlarge-mnli
7,0.3804195804195804,0.10939691444600279,0.17342657342657342,0.610971212387085,0.6709158420562744,0.6395419239997864,BERTScore-deberta-xlarge-mnli
8,0.39270687237026647,0.15189873417721517,0.19915848527349228,0.5967466235160828,0.6639471054077148,0.6285557746887207,BERTScore-deberta-xlarge-mnli
9,0.4094827586206896,0.11688311688311687,0.19827586206896552,0.602441668510437,0.6268455982208252,0.6144014000892639,BERTScore-deberta-xlarge-mnli
10,0.3102918586789555,0.11093990755007704,0.16282642089093702,0.5713542699813843,0.6529074907302856,0.6094145774841309,BERTScore-deberta-xlarge-mnli
11,0.38653001464128844,0.0881057268722467,0.14641288433382135,0.5814512372016907,0.5922208428382874,0.5867866277694702,BERTScore-deberta-xlarge-mnli
12,0.4099722991689751,0.13055555555555554,0.1634349030470914,0.5712477564811707,0.6289806365966797,0.5987256169319153,BERTScore-deberta-xlarge-mnli
13,0.33970276008492567,0.06823027718550106,0.1571125265392781,0.5677503347396851,0.5868631601333618,0.5771485567092896,BERTScore-deberta-xlarge-mnli
14,0.3269230769230769,0.067524115755627,0.16666666666666669,0.5790822505950928,0.6339176297187805,0.6052604913711548,BERTScore-deberta-xlarge-mnli
15,0.5016077170418006,0.13225806451612904,0.2057877813504823,0.6708712577819824,0.6810380220413208,0.6759163737297058,BERTScore-deberta-xlarge-mnli
16,0.5231788079470199,0.2292358803986711,0.22185430463576158,0.6281030774116516,0.6494736671447754,0.6386096477508545,BERTScore-deberta-xlarge-mnli
17,0.40860215053763443,0.14028776978417265,0.2186379928315412,0.6029903888702393,0.6299429535865784,0.6161721348762512,BERTScore-deberta-xlarge-mnli
18,0.3687315634218289,0.09171597633136096,0.1799410029498525,0.570184588432312,0.6305488348007202,0.598849356174469,BERTScore-deberta-xlarge-mnli
19,0.33257918552036203,0.12925170068027209,0.1493212669683258,0.5282027721405029,0.6072941422462463,0.5649939775466919,BERTScore-deberta-xlarge-mnli
