id,bartscore_sum2doc,bartscore_doc2sum,truncated
0,-3.1305794715881348,-2.222571611404419,False
1,-3.1361939907073975,-2.28891658782959,False
2,-3.479304790496826,-2.440483331680298,False
3,-2.985649585723877,-2.3375024795532227,False
4,-2.783438205718994,-1.8731423616409302,False
5,-2.008727788925171,-2.20223331451416,False
6,-4.204547882080078,-2.7428812980651855,False
7,-3.2600831985473633,-2.4754691123962402,False
8,-3.2733349800109863,-2.6625444889068604,False
9,-3.356812000274658,-2.0020580291748047,False
10,-3.23195219039917,-2.490699052810669,False
11,-2.946328639984131,-2.067045211791992,False
12,-3.2228169441223145,-2.2722506523132324,False
13,-3.711904525756836,-2.8084964752197266,False
14,-3.707380771636963,-3.1176342964172363,False
15,-2.9586000442504883,-2.334183692932129,False
16,-3.804462194442749,-2.5108821392059326,False
17,-3.8447134494781494,-2.3842952251434326,False
18,-3.814181327819824,-2.945566415786743,False
19,-4.334529876708984,-2.5381853580474854,False
20,-3.208205223083496,-2.503648519515991,False
21,-2.7257843017578125,-1.9927830696105957,False
22,-2.9924588203430176,-2.228888750076294,False
23,-3.399902820587158,-2.527543544769287,False
24,-3.7632784843444824,-2.8902029991149902,False
25,-3.9050700664520264,-3.342057704925537,False
26,-3.935577630996704,-2.6288540363311768,False
27,-3.806305408477783,-2.3367421627044678,False
28,-2.8011159896850586,-1.9247733354568481,False
29,-3.178191661834717,-2.5062363147735596,False
30,-3.334958076477051,-2.1383321285247803,False
31,-3.7206897735595703,-2.35503888130188,False
32,-3.313617467880249,-2.7535557746887207,False
33,-2.9679367542266846,-2.1868643760681152,False
34,-4.076446533203125,-2.8818912506103516,False
35,-3.360682964324951,-2.2716000080108643,False
36,-3.437629461288452,-2.2818546295166016,False
37,-4.638608932495117,-3.2448387145996094,False
38,-3.276522159576416,-2.700216293334961,False
39,-3.4146728515625,-2.80448055267334,False
40,-3.5929172039031982,-2.1085379123687744,False
41,-3.159392833709717,-2.4547507762908936,False
42,-3.2990758419036865,-1.8599117994308472,False
43,-3.6625800132751465,-2.5626988410949707,False
44,-3.1262998580932617,-2.181138277053833,False
45,-2.7416815757751465,-2.222975254058838,False
46,-3.3840041160583496,-2.28473162651062,False
48,-3.9212265014648438,-3.524933099746704,False
49,-3.9253652095794678,-3.2907824516296387,False
50,-3.9311842918395996,-3.2898857593536377,False
51,-4.039511203765869,-3.794443130493164,False
52,-3.99080228805542,-3.351677417755127,False
53,-4.194762229919434,-3.903423309326172,False
54,-4.267096519470215,-3.462735891342163,False
55,-4.124761581420898,-3.623896360397339,False
56,-4.135717868804932,-3.520268678665161,False
57,-4.352334022521973,-3.0215466022491455,False
58,-4.044180870056152,-3.460392951965332,False
59,-3.820464611053467,-3.535201072692871,False
60,-4.0910162925720215,-3.6286590099334717,False
61,-4.154535293579102,-3.8746612071990967,False
62,-3.9677517414093018,-3.569993257522583,False
63,-4.146852970123291,-3.635751485824585,False
64,-3.9085075855255127,-3.8716845512390137,False
65,-4.325655937194824,-3.8720309734344482,False
66,-4.010708808898926,-3.5865395069122314,False
67,-3.8784048557281494,-3.5558042526245117,False
68,-4.110810279846191,-3.713815212249756,False
69,-4.350153923034668,-3.2494781017303467,False
70,-3.8439924716949463,-3.6535375118255615,False
71,-3.851950168609619,-3.1389782428741455,False
72,-3.9179041385650635,-4.055102825164795,False
73,-3.9722113609313965,-3.4911727905273438,False
74,-3.97133731842041,-3.38936448097229,False
75,-4.164398193359375,-3.3635199069976807,False
76,-3.7504425048828125,-3.554103374481201,False
77,-4.432241439819336,-3.7805943489074707,False
