config_name,bartscore_sum2doc_mean,bartscore_sum2doc_median,bartscore_sum2doc_std,bartscore_sum2doc_min,bartscore_sum2doc_max,bartscore_doc2sum_mean,bartscore_doc2sum_median,bartscore_doc2sum_std,bartscore_doc2sum_min,bartscore_doc2sum_max
base,-4.038492102699586,-4.071588039398193,0.3829110388753003,-5.106406211853027,-2.008727788925171,-3.470397673218126,-3.543311595916748,0.4282689627697864,-5.260766506195068,-1.8599117994308472
no_nli,-4.02737209452204,-4.063136577606201,0.3923130901926278,-5.1169047355651855,-1.7889795303344727,-3.4813789742059975,-3.5287472009658813,0.45086502244150617,-5.035444736480713,-1.734571933746338
no_entity,-4.044959426883713,-4.076510429382324,0.3763263545689646,-5.099106788635254,-1.8944480419158936,-3.4870889196434174,-3.554031014442444,0.42573133362425053,-5.330547332763672,-1.8529093265533447
full,-4.019423647099231,-4.054211139678955,0.3939132678188673,-5.081263542175293,-1.8137338161468506,-3.4692762829213737,-3.5268309116363525,0.4495524788594831,-4.981970310211182,-1.3740733861923218
