id,bartscore_sum2doc,bartscore_doc2sum,truncated
0,-3.6633336544036865,-2.3794374465942383,False
1,-3.1519083976745605,-2.4307987689971924,False
2,-2.924208164215088,-2.436467170715332,False
3,-3.180647373199463,-2.739626884460449,False
4,-2.6103591918945312,-1.6661099195480347,False
5,-1.8137338161468506,-2.247295379638672,False
6,-3.604349136352539,-2.3172600269317627,False
7,-3.480452537536621,-2.6111083030700684,False
8,-3.186154365539551,-2.5013575553894043,False
9,-3.178271770477295,-2.1940388679504395,False
10,-3.127741575241089,-2.2857460975646973,False
11,-3.070949077606201,-2.460766077041626,False
12,-3.2780890464782715,-2.365407943725586,False
13,-3.7582895755767822,-2.7818009853363037,False
14,-3.480091094970703,-3.0777666568756104,False
15,-2.931368827819824,-2.322927951812744,False
16,-3.6800975799560547,-2.3937947750091553,False
17,-2.897184371948242,-2.1760575771331787,False
18,-4.085765361785889,-3.1864326000213623,False
19,-4.213873863220215,-2.4072775840759277,False
20,-3.2507452964782715,-2.1820321083068848,False
21,-2.1317577362060547,-1.3740733861923218,False
22,-2.9217429161071777,-2.3450520038604736,False
23,-3.4628188610076904,-2.2632784843444824,False
24,-3.538743019104004,-2.874596118927002,False
25,-3.830911159515381,-2.6126608848571777,False
26,-3.263216972351074,-2.457728624343872,False
27,-3.7895212173461914,-2.2969868183135986,False
28,-2.9753246307373047,-1.957052230834961,False
29,-3.0490951538085938,-2.821445941925049,False
30,-3.39957332611084,-2.1009533405303955,False
31,-3.6759605407714844,-2.3316197395324707,False
32,-2.966341972351074,-2.341400384902954,True
33,-2.8981614112854004,-2.072939872741699,False
34,-3.8491830825805664,-2.7311525344848633,False
35,-3.3567299842834473,-2.2035646438598633,False
36,-3.3281569480895996,-2.010826587677002,False
37,-4.648436546325684,-3.0107922554016113,True
38,-3.082226276397705,-2.595914125442505,False
39,-3.3615169525146484,-2.66422963142395,False
40,-3.7498390674591064,-2.3691346645355225,False
41,-3.204606056213379,-2.267054796218872,False
42,-3.1604936122894287,-1.7748395204544067,False
43,-3.580078363418579,-2.5362319946289062,False
44,-4.312161445617676,-2.175011157989502,False
45,-2.5075888633728027,-1.9978055953979492,False
46,-3.3572254180908203,-2.5228748321533203,False
48,-3.7994742393493652,-3.7258543968200684,False
49,-4.025320529937744,-3.3189194202423096,False
50,-3.9363718032836914,-3.190556764602661,False
51,-3.9888694286346436,-3.9636166095733643,False
52,-4.011764049530029,-3.4758222103118896,False
53,-4.112072944641113,-3.7891292572021484,False
54,-4.246757507324219,-3.3707547187805176,False
55,-4.308806419372559,-3.640996217727661,False
56,-4.214108467102051,-3.5186362266540527,False
57,-4.34867000579834,-3.1988258361816406,False
58,-4.098196506500244,-3.530210256576538,True
59,-3.7988803386688232,-3.5106325149536133,False
60,-4.087383270263672,-3.684896945953369,False
61,-4.135806083679199,-4.151731491088867,False
62,-3.9115116596221924,-3.413442611694336,False
63,-3.9310903549194336,-3.6883203983306885,False
64,-3.994643211364746,-3.5237503051757812,False
65,-4.344653606414795,-3.8462414741516113,False
66,-3.9808995723724365,-3.766148805618286,False
67,-3.9044578075408936,-3.5066404342651367,False
68,-3.94448184967041,-3.8760719299316406,False
69,-4.368466377258301,-3.1338868141174316,True
70,-3.8818840980529785,-3.51977801322937,False
71,-3.927182912826538,-3.022359609603882,False
72,-4.038387298583984,-4.0323486328125,False
73,-3.9470276832580566,-3.5420889854431152,False
74,-3.954334259033203,-3.405477285385132,False
75,-4.153802871704102,-3.4956753253936768,False
76,-3.6712379455566406,-3.845233917236328,False
77,-4.374703884124756,-3.667236328125,False
78,-4.199853897094727,-3.778550386428833,False
79,-3.9709153175354004,-3.62705135345459,False
80,-4.233487129211426,-3.2909891605377197,False
81,-4.201202869415283,-3.588153600692749,False
82,-3.6427745819091797,-3.776951313018799,False
83,-4.73653507232666,-4.0807647705078125,False
84,-4.139298915863037,-3.752779960632324,False
85,-3.839783191680908,-3.7118031978607178,False
86,-4.171426773071289,-3.674030303955078,False
87,-3.987217426300049,-3.472357988357544,False
88,-3.6835246086120605,-3.4892141819000244,False
89,-4.326435565948486,-4.03431510925293,False
90,-3.9547481536865234,-3.447808265686035,False
91,-4.0325469970703125,-3.9601023197174072,False
92,-3.7679803371429443,-3.853835105895996,False
93,-4.297674179077148,-3.445875883102417,False
94,-3.90484619140625,-3.9288017749786377,False
95,-4.366268157958984,-3.528433322906494,False
96,-4.288479804992676,-3.067172050476074,False
97,-3.8697314262390137,-3.487137794494629,False
98,-3.518393039703369,-3.3420915603637695,False
99,-3.9053566455841064,-3.6506006717681885,False
100,-4.131092548370361,-3.728437900543213,False
101,-4.272037506103516,-3.8979008197784424,False
102,-4.382791519165039,-3.397597312927246,False
103,-4.005166053771973,-3.8159210681915283,False
104,-4.041781425476074,-3.193368911743164,False
105,-3.9682910442352295,-3.3983702659606934,False
106,-3.6385536193847656,-3.6725471019744873,False
107,-3.8129122257232666,-3.293543577194214,False
108,-4.051837921142578,-3.967221260070801,False
109,-4.436031341552734,-3.615980625152588,False
110,-4.16489315032959,-3.437596082687378,False
111,-4.098274230957031,-3.7131969928741455,False
112,-4.928860664367676,-3.4070208072662354,False
113,-4.077813148498535,-3.647484064102173,True
114,-4.337358474731445,-4.069375038146973,False
115,-4.522361755371094,-3.3107059001922607,False
116,-4.220528602600098,-3.4922003746032715,False
117,-4.681020259857178,-3.432567834854126,False
118,-3.9532082080841064,-3.6221487522125244,False
119,-4.2465667724609375,-3.7045037746429443,False
120,-4.025049686431885,-3.7060890197753906,False
121,-4.568905830383301,-4.089184284210205,False
122,-3.9654033184051514,-3.340419054031372,False
123,-3.580122947692871,-2.825712203979492,False
124,-4.007420539855957,-4.227612018585205,False
125,-4.524162292480469,-3.1027631759643555,False
126,-3.8656973838806152,-3.525228500366211,False
127,-4.110877990722656,-3.9264724254608154,False
128,-4.225304126739502,-3.4396209716796875,False
129,-4.0531511306762695,-3.3880772590637207,False
130,-4.048736572265625,-3.4443516731262207,False
131,-3.682950019836426,-3.686518907546997,False
132,-3.92546010017395,-3.537688732147217,False
133,-4.3242621421813965,-3.3868606090545654,False
134,-4.111311912536621,-3.506455898284912,False
135,-4.019619941711426,-3.446493625640869,True
136,-4.151665687561035,-3.6537959575653076,False
137,-3.87343168258667,-3.073240280151367,False
138,-3.7537519931793213,-3.5354928970336914,False
139,-4.2911272048950195,-3.913473606109619,False
140,-4.243224143981934,-4.041024208068848,True
141,-4.55991792678833,-3.961599588394165,False
142,-4.009293556213379,-3.963833808898926,False
143,-4.058496952056885,-3.440018653869629,False
144,-4.301540851593018,-3.402928113937378,False
145,-3.914987564086914,-3.5585484504699707,False
146,-4.0327301025390625,-3.930826425552368,False
147,-4.819512367248535,-3.7865166664123535,False
148,-4.582004547119141,-4.332125186920166,True
149,-4.232935905456543,-3.508817434310913,False
150,-3.431565523147583,-3.697430372238159,False
151,-3.8095805644989014,-3.1247525215148926,False
152,-3.485684394836426,-3.503479242324829,False
153,-3.7050743103027344,-3.4376795291900635,False
154,-4.1224517822265625,-3.390714168548584,False
155,-3.9586849212646484,-3.0161020755767822,False
156,-4.3394060134887695,-3.382826805114746,False
157,-3.862274169921875,-3.502626895904541,False
158,-4.1794843673706055,-3.580801486968994,False
159,-4.010580539703369,-2.8030707836151123,False
160,-3.8230104446411133,-3.721836805343628,False
161,-3.6144983768463135,-3.25054669380188,False
162,-4.152273178100586,-4.26767110824585,False
163,-4.4271111488342285,-3.3174262046813965,False
164,-3.420729160308838,-3.3020477294921875,False
165,-4.312596321105957,-3.6400651931762695,False
166,-4.340210914611816,-3.480766773223877,False
167,-4.0458807945251465,-3.6906657218933105,False
168,-4.277159690856934,-3.486358642578125,False
169,-4.164083480834961,-3.813814878463745,False
170,-3.754425287246704,-3.940265417098999,False
171,-4.445196151733398,-3.716458559036255,False
172,-4.219555854797363,-3.354379415512085,False
173,-4.359410285949707,-3.6413981914520264,False
174,-4.10163688659668,-3.566145181655884,False
175,-4.292788982391357,-3.6634161472320557,False
176,-4.149539947509766,-3.399664878845215,False
177,-4.211040496826172,-4.0460429191589355,False
178,-4.622615814208984,-3.3063650131225586,False
179,-3.916527032852173,-3.782804012298584,False
180,-4.388595104217529,-3.534090757369995,False
181,-4.488410949707031,-3.6712193489074707,False
182,-4.207979202270508,-3.373194456100464,False
183,-3.752772092819214,-3.173337936401367,False
184,-4.02951192855835,-3.760408639907837,False
185,-4.194949150085449,-3.719092607498169,False
186,-3.737593650817871,-3.458432197570801,False
187,-4.046097755432129,-3.1315977573394775,False
188,-3.9219446182250977,-3.429302453994751,False
189,-3.9796996116638184,-3.413874864578247,False
190,-3.882050037384033,-3.627359628677368,False
191,-3.850552797317505,-3.450929880142212,False
192,-4.643025875091553,-3.3589680194854736,False
193,-4.311897277832031,-3.7321319580078125,False
194,-4.241410255432129,-3.627772808074951,False
195,-3.615717649459839,-3.4171924591064453,False
196,-4.053806304931641,-3.2279157638549805,True
197,-4.558567047119141,-3.5102176666259766,True
198,-4.205897331237793,-3.6042821407318115,False
199,-4.176786422729492,-3.524559736251831,False
200,-3.6656322479248047,-3.553882122039795,False
201,-4.235998153686523,-3.3298091888427734,False
202,-4.013498306274414,-3.838545083999634,False
203,-4.704042911529541,-3.3042232990264893,False
204,-3.7574751377105713,-3.126046657562256,False
205,-4.302083969116211,-3.509479522705078,False
206,-4.135303497314453,-3.440624475479126,False
207,-4.211845397949219,-3.438044548034668,False
208,-4.123282432556152,-3.230980396270752,False
209,-4.250771522521973,-3.8672895431518555,False
210,-4.075081825256348,-4.001530647277832,False
211,-4.193295955657959,-3.6647791862487793,False
212,-3.9007930755615234,-3.597665786743164,False
213,-3.9294955730438232,-3.460860013961792,False
214,-4.110027313232422,-3.6815505027770996,False
215,-4.422782897949219,-3.6252377033233643,False
216,-4.235196113586426,-3.799245595932007,False
217,-4.046897888183594,-4.066205024719238,False
218,-4.268080234527588,-4.502638816833496,False
219,-4.550817489624023,-3.4177093505859375,False
220,-4.282340049743652,-3.897026538848877,False
221,-4.09512996673584,-3.7520055770874023,False
222,-3.9817147254943848,-3.671302080154419,False
223,-3.3318862915039062,-3.762845993041992,False
224,-4.074947357177734,-3.647559404373169,False
225,-4.1960835456848145,-3.9849510192871094,False
226,-4.674503326416016,-3.7977683544158936,False
227,-3.8115944862365723,-3.818094253540039,True
228,-4.294980049133301,-3.200623035430908,False
229,-4.688804626464844,-3.2557296752929688,False
230,-4.1973981857299805,-3.8009390830993652,False
231,-3.9979958534240723,-3.1262383460998535,False
232,-4.242107391357422,-3.3996028900146484,False
233,-3.9255223274230957,-3.5811424255371094,False
234,-4.156956195831299,-3.5802571773529053,False
235,-4.156942367553711,-4.039905548095703,False
236,-4.4054388999938965,-3.455336093902588,False
237,-4.078095436096191,-3.306029796600342,False
238,-4.136410713195801,-3.340276002883911,False
239,-4.160573959350586,-3.431593418121338,False
240,-4.375794410705566,-3.622971534729004,False
241,-3.908252477645874,-3.805769681930542,False
242,-3.922393798828125,-3.869520902633667,False
243,-3.5844216346740723,-3.4609251022338867,False
244,-3.69411563873291,-3.55136775970459,False
245,-3.2524213790893555,-3.2540853023529053,False
246,-3.6043479442596436,-3.447401285171509,False
247,-4.0288496017456055,-3.6029298305511475,False
248,-4.371120452880859,-3.043567657470703,False
249,-3.7536356449127197,-3.8448479175567627,False
250,-3.8187904357910156,-3.2336699962615967,False
