config_name,summac_mean,summac_median,summac_std,summac_min,summac_max
base,0.0,0.0,0.0,0.0,0.0
no_nli,0.0,0.0,0.0,0.0,0.0
no_entity,0.0,0.0,0.0,0.0,0.0
full,0.0,0.0,0.0,0.0,0.0
