config_name,summac_mean,summac_median,summac_std,summac_min,summac_max,method
base,0.7146230991106914,0.7130021750926971,0.03364128184474703,0.6257817149162292,0.8518982529640198,SummaCConv_vitc
no_nli,0.7326755796570376,0.7297144532203674,0.04081425763064455,0.6083562970161438,0.9302395582199097,SummaCConv_vitc
no_entity,0.7121289064845886,0.710673600435257,0.03411350438461513,0.6097953915596008,0.8641908168792725,SummaCConv_vitc
full,0.7327060485221296,0.728037565946579,0.04266030712767049,0.6102208495140076,0.9068025946617126,SummaCConv_vitc
