config_name,summac_mean,summac_median,summac_std,summac_min,summac_max,method
base,0.5458733955650584,0.5501490035388341,0.0972556981976262,0.06785714285714285,0.8006329113924051,fallback
no_nli,0.5642166731127084,0.5525357778803667,0.11733569223088085,0.0875,0.9977426636568849,fallback
no_entity,0.5383031866895439,0.540181774695049,0.09528444056466312,0.07116104868913857,0.7935483870967742,fallback
full,0.5613198379577151,0.559420638741775,0.09970211829646446,0.09302325581395349,0.9466357308584686,fallback
